n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
10,10.0,1,1,0.6885004043579102,0.12258064516129032,0.07279693486590039,0.3877551020408163,0.7455310199789695,0.5666430610098929,0.05822738290718586
10,10.0,1,2,0.6452229022979736,0.1238390092879257,0.072992700729927,0.40816326530612246,0.732912723449001,0.5705379943775617,0.05879293907343959
10,10.0,1,3,0.6296036243438721,0.06374501992031872,0.039603960396039604,0.16326530612244897,0.7960042060988434,0.4796347561106461,0.04746595271772075
10,10.0,1,4,0.6157932281494141,0.05245901639344262,0.03125,0.16326530612244897,0.7392218717139852,0.45124358891821714,0.04610204081632653
10,10.0,1,5,0.6067109107971191,0.09742120343839542,0.056666666666666664,0.3469387755102041,0.7024185068349106,0.5246786411725574,0.05165986394557823
10,10.0,5,1,0.637303352355957,0.10526315789473684,0.0635593220338983,0.30612244897959184,0.7676130389064143,0.5368677439430031,0.05345693531649948
10,10.0,5,2,0.6952509880065918,0.1237785016286645,0.07364341085271318,0.3877551020408163,0.7486855941114616,0.568220348076139,0.05855560828982756
10,10.0,5,3,0.6233758926391602,0.05668016194331984,0.03535353535353535,0.14285714285714285,0.7991587802313355,0.47100796154423913,0.04705050505050505
10,10.0,5,4,0.6516098976135254,0.06321839080459771,0.03678929765886288,0.22448979591836735,0.6971608832807571,0.46082533959956223,0.046258821923418195
10,10.0,5,5,0.6053390502929688,0.09968847352024922,0.058823529411764705,0.32653061224489793,0.7308096740273397,0.5286701431361188,0.0522076830732293
10,10.0,10,1,0.6166930198669434,0.1003584229390681,0.06086956521739131,0.2857142857142857,0.7728706624605678,0.5292924740874266,0.05239130434782609
10,10.0,10,2,0.5985393524169922,0.1094224924012158,0.06428571428571428,0.3673469387755102,0.7245005257623555,0.5459237322689328,0.054615160349854225
10,10.0,10,3,0.6096718311309814,0.0711743772241993,0.04310344827586207,0.20408163265306123,0.7665615141955836,0.4853215734243224,0.04779662209711471
10,10.0,10,4,0.6137208938598633,0.034482758620689655,0.020066889632107024,0.12244897959183673,0.6919032597266036,0.40717611965922007,0.045457170159033514
10,10.0,10,5,0.6376161575317383,0.09803921568627451,0.055710306406685235,0.40816326530612246,0.6435331230283912,0.5258481941672568,0.05173890057415724
10,20.0,1,1,0.8045244216918945,0.08602150537634409,0.058394160583941604,0.16326530612244897,0.8643533123028391,0.513809309212644,0.05053374050350067
10,20.0,1,2,0.8020420074462891,0.047058823529411764,0.03305785123966942,0.08163265306122448,0.8769716088328076,0.47930213094701607,0.04769860010119751
10,20.0,1,3,0.7984097003936768,0.015384615384615385,0.012345679012345678,0.02040816326530612,0.9158780231335436,0.4681430931994249,0.048251952632905014
10,20.0,1,4,0.9976987838745117,0.05025125628140704,0.03333333333333333,0.10204081632653061,0.8475289169295478,0.47478486662803926,0.04740136054421769
10,20.0,1,5,1.0336854457855225,0.05102040816326531,0.034013605442176874,0.10204081632653061,0.85068349106204,0.47636215369428525,0.047470776065528256
10,20.0,5,1,0.9235348701477051,0.05917159763313609,0.041666666666666664,0.10204081632653061,0.879074658254469,0.49055773729049973,0.04825170068027211
10,20.0,5,2,0.8340203762054443,0.07017543859649122,0.04918032786885246,0.12244897959183673,0.8780231335436383,0.5002360565677375,0.04902208096353296
10,20.0,5,3,0.7971541881561279,0.061068702290076333,0.04878048780487805,0.08163265306122448,0.917981072555205,0.4998068628082148,0.048982080637132906
10,20.0,5,4,0.8099088668823242,0.034934497816593885,0.022222222222222223,0.08163265306122448,0.814931650893796,0.4482821519775103,0.04681405895691611
10,20.0,5,5,0.8652331829071045,0.022598870056497175,0.015625,0.04081632653061224,0.8675078864353313,0.45416210648297173,0.04763775510204082
10,20.0,10,1,0.7867898941040039,0.05555555555555555,0.03816793893129771,0.10204081632653061,0.8675078864353313,0.48477435138093083,0.047894687646050794
10,20.0,10,2,0.7983777523040771,0.07547169811320754,0.049079754601226995,0.16326530612244897,0.8370136698212408,0.5001394879718448,0.049013021159383996
10,20.0,10,3,0.8480284214019775,0.07352941176470588,0.05747126436781609,0.10204081632653061,0.9137749737118822,0.5079078950192064,0.04986441473140981
10,20.0,10,4,0.8222997188568115,0.04784688995215311,0.03125,0.10204081632653061,0.8370136698212408,0.46952724307388566,0.04718877551020409
10,20.0,10,5,0.8134679794311523,0.06278026905829596,0.040229885057471264,0.14285714285714285,0.8243953732912723,0.48362625807420756,0.04774712643678161
10,,1,1,1.5385243892669678,0.0,0.0,0.0,0.9884332281808622,0.4942166140904311,0.049
10,,1,2,1.6369974613189697,0.0,0.0,0.0,0.9936908517350158,0.4968454258675079,0.049
10,,1,3,1.500279188156128,0.07017543859649122,0.25,0.04081632653061224,0.9936908517350158,0.517253589132814,0.05720408163265306
10,,1,4,1.8529722690582275,0.0,0.0,0.0,0.9915878023133544,0.4957939011566772,0.049
10,,1,5,1.8293442726135254,0.0,0.0,0.0,0.9915878023133544,0.4957939011566772,0.049
10,,5,1,1.3993806838989258,0.0,0.0,0.0,0.9768664563617245,0.48843322818086227,0.049
10,,5,2,1.3293845653533936,0.05405405405405406,0.08,0.04081632653061224,0.9758149316508938,0.5083156290907531,0.05026530612244898
10,,5,3,1.3217790126800537,0.02857142857142857,0.047619047619047616,0.02040816326530612,0.9789695057833859,0.49968883452434604,0.04897181729834791
10,,5,4,1.4725594520568848,0.02666666666666667,0.038461538461538464,0.02040816326530612,0.9737118822292324,0.4970600227472693,0.04878492935635793
10,,5,5,1.5219285488128662,0.0,0.0,0.0,0.9779179810725552,0.4889589905362776,0.049
10,,10,1,1.1552464962005615,0.023809523809523808,0.02857142857142857,0.02040816326530612,0.964248159831756,0.4923281615485311,0.04858309037900875
10,,10,2,1.4125545024871826,0.02531645569620253,0.03333333333333333,0.02040816326530612,0.9695057833859095,0.49495697332560784,0.048680272108843535
10,,10,3,1.1372876167297363,0.024390243902439025,0.030303030303030304,0.02040816326530612,0.9663512092534174,0.4933796862593618,0.04861842918985776
10,,10,4,1.4409005641937256,0.022727272727272728,0.02564102564102564,0.02040816326530612,0.9600420609884333,0.4902251121268697,0.048523286237571954
10,,10,5,1.470470666885376,0.044444444444444446,0.04878048780487805,0.04081632653061224,0.9589905362776026,0.4999034314041074,0.04899104031856645
20,10.0,1,1,0.8445336818695068,0.0728744939271255,0.045454545454545456,0.1836734693877551,0.8012618296529969,0.49246764952037597,0.04834879406307978
20,10.0,1,2,0.8702917098999023,0.08391608391608392,0.05063291139240506,0.24489795918367346,0.7634069400630915,0.5041524496233826,0.04939989666752777
20,10.0,1,3,0.8433921337127686,0.03827751196172249,0.025,0.08163265306122448,0.8359621451104101,0.45879739908581735,0.047040816326530614
20,10.0,1,4,0.9304206371307373,0.0594059405940594,0.0392156862745098,0.12244897959183673,0.8454258675078864,0.4839374235498615,0.047801920768307325
20,10.0,1,5,0.9195065498352051,0.07659574468085106,0.04838709677419355,0.1836734693877551,0.8138801261829653,0.4987767977853602,0.04888742593811718
