n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
10,10.0,1,3.0,0.6371662139892578,0.09200897884027456,0.05466205253170673,0.29387755102040813,0.7432176656151419,0.518547608317775,0.05244963589205019,0.22100207435003327
10,10.0,5,3.0,0.6425758361816406,0.08972573715831363,0.053633819062154885,0.27755102040816326,0.7486855941114616,0.5131183072598124,0.051505910730695915,0.218116651716274
10,10.0,10,3.0,0.6152482509613038,0.08269545337428948,0.04880718476355199,0.27755102040816326,0.7198738170347003,0.49871241872143174,0.05039983150559716,0.2106025678671061
10,20.0,1,3.0,0.8872720718383789,0.049947321747008715,0.03422892592229339,0.09387755102040815,0.8710830704521555,0.48248031073628195,0.04827128596946983,0.19356630615092016
10,20.0,5,3.0,0.8459702968597412,0.049589821278558946,0.03549494091252388,0.08571428571428572,0.8715036803364878,0.4786089830253868,0.04814153526797898,0.19211344652397488
10,20.0,10,3.0,0.8137927532196045,0.06303676488878361,0.04323976859156241,0.12244897959183673,0.8559411146161935,0.48919504710401507,0.04834160509676606,0.20019113902985494
20,10.0,1,3.0,0.881628942489624,0.06621395501596847,0.04173804797913078,0.163265306122449,0.8119873817034702,0.48762634391295945,0.04829577075271253,0.2007120232272135
20,10.0,5,3.0,0.8598725318908691,0.06785412638860161,0.042647053764500016,0.16734693877551018,0.8092534174553101,0.48830017811541016,0.04839676818871799,0.20151702423090992
20,10.0,10,3.0,0.8404999256134034,0.057120095289323845,0.03534522242289852,0.15102040816326529,0.7934805467928496,0.4722504774780575,0.047616875644297105,0.19232914947055946
20,20.0,1,3.0,1.3387754440307618,0.03921630874572051,0.03309136629520306,0.04897959183673469,0.9316508937960043,0.4903152428163695,0.048680112666257117,0.19273722140944904
20,20.0,5,3.0,1.3349241733551025,0.058113489183621816,0.04725135530815841,0.07755102040816327,0.9181913774973711,0.4978711989527672,0.04890566301116321,0.20163011704918407
20,20.0,10,3.0,1.3103954792022705,0.04633696203630506,0.03636347686531566,0.0653061224489796,0.9030494216614091,0.4841777720551943,0.048891490928022155,0.19313540833984053
30,10.0,1,3.0,1.0879390716552735,0.06076975595282399,0.04042307332420274,0.12653061224489798,0.8475289169295479,0.48702976458722286,0.048125865474805296,0.19864179533828405
30,10.0,5,3.0,1.0570910453796387,0.048885527490027954,0.03181320900825858,0.10612244897959182,0.8351209253417455,0.47062168716066866,0.04743601499379234,0.18898107654816299
30,10.0,10,3.0,0.9787154197692871,0.057949007784862686,0.03752610794151659,0.13061224489795917,0.8328075709779179,0.48170990793793855,0.04781586508216595,0.19582492693498907
30,20.0,1,3.0,1.5430631637573242,0.044734111647298694,0.04183286125637442,0.04897959183673469,0.9421661409043113,0.495572866370523,0.048926378665162654,0.19641111889432813
30,20.0,5,3.0,1.5423386096954346,0.05001431126665762,0.043208734634262266,0.061224489795918366,0.9278654048370136,0.49454494731646603,0.04870546539754227,0.1977549079935553
